,at,content,reviewCreatedVersion,thumbsUpCount,content,topic
624,2020-10-15 18:10:40,"Es fácil de usar y no se atora. supuestamente, captura los números de tarjeta al escanear con la cámara pero no sé registra ningún número. Además, no te explican que no debes de desinstalarla o cambiarla de dispositivo, de lo contrario, se bloquea la función de transferencias y tienes que llamar o acudir a sucursal para el desbloqueo.",5.57.8,8,"Es fácil de usar y no se atora. supuestamente, captura los números de tarjeta al escanear con la cámara pero no sé registra ningún número. Además, no te explican que no debes de desinstalarla o cambiarla de dispositivo, de lo contrario, se bloquea la función de transferencias y tienes que llamar o acudir a sucursal para el desbloqueo.",transferencias
625,2020-08-10 13:54:50,Todo el tiempo se cierra y tengo que esperar 5 minutos para volverla a usar. Entiendo que es por seguridad pero es muy molesto que cada que quiero hacer una transferencia tengo que intentarlo como 5 veces porque la aplicación deja de funcionar todo el tiempo. Además es muy complicado realizar transferencias rápidas,5.57.6,8,Todo el tiempo se cierra y tengo que esperar 5 minutos para volverla a usar. Entiendo que es por seguridad pero es muy molesto que cada que quiero hacer una transferencia tengo que intentarlo como 5 veces porque la aplicación deja de funcionar todo el tiempo. Además es muy complicado realizar transferencias rápidas,transferencias
635,2021-06-11 13:54:02,"No puedes hacer capturas de pantalla, a veces te cambia el usuario, cuando se cierra sola la app tienes que esperar como 10 minutos para volver a abrirla porque detecta otro supuesto dispositivo activo, cuando requieres hacer una transferencia rápida la mayoría de las veces dice que no se puede en ese momento. Todo es lentísimo",5.59.2,8,"No puedes hacer capturas de pantalla, a veces te cambia el usuario, cuando se cierra sola la app tienes que esperar como 10 minutos para volver a abrirla porque detecta otro supuesto dispositivo activo, cuando requieres hacer una transferencia rápida la mayoría de las veces dice que no se puede en ese momento. Todo es lentísimo",transferencias
639,2020-08-14 21:32:53,"Me dijeron en la línea de atención a clientes que con sólo descargar la app e ingresando datos y generando contraseña, podría manejar de inmediato mi cuenta y hacer transferencias, lo cual no fue así, tienes que ir a una sucursal y formarte 4 horas por la contingencia y esperar a que un ejecutivo te genere un súper token y eso nunca me lo dijeron, tenía que hacer unas transferencias y no las hice en tiempo y forma. :(",5.57.6,8,"Me dijeron en la línea de atención a clientes que con sólo descargar la app e ingresando datos y generando contraseña, podría manejar de inmediato mi cuenta y hacer transferencias, lo cual no fue así, tienes que ir a una sucursal y formarte 4 horas por la contingencia y esperar a que un ejecutivo te genere un súper token y eso nunca me lo dijeron, tenía que hacer unas transferencias y no las hice en tiempo y forma. :(",transferencias
642,2020-12-21 00:20:37,"Hola, hoy tenía que realizar una transferencia y no se pudo, ya que segun el monto excedía la cantidad autorizada a la hora que lo quise hacer. A caso no es para esto precisamente esta aplicación, para poder hacer trámites sin ir al banco y a la hora que tengas el tiempo?",5.58.3,7,"Hola, hoy tenía que realizar una transferencia y no se pudo, ya que segun el monto excedía la cantidad autorizada a la hora que lo quise hacer. A caso no es para esto precisamente esta aplicación, para poder hacer trámites sin ir al banco y a la hora que tengas el tiempo?",transferencias
644,2021-09-03 17:01:05,"Necesitamos notificaciones cuando se recibe una transferencia. Estoy a nada de cambiarme a BBVA sólo porque su app es mejor. En serio, Santander, esto tiene que cambiar.",5.61,7,"Necesitamos notificaciones cuando se recibe una transferencia. Estoy a nada de cambiarme a BBVA sólo porque su app es mejor. En serio, Santander, esto tiene que cambiar.",transferencias
647,2021-04-23 14:16:23,"Una App para tener fácil acceso para recibir y/o hacer pagos, transferencias y no se puede hacer tan fácil como debería ser, te piden aparte de tus niños y códigos de acceso, conformar correos electrónicos en 30 segundos, entrar y salir de la App para validar, una transferencia de 60 segundos se vuelven 30 o más minutos",5.59.2,7,"Una App para tener fácil acceso para recibir y/o hacer pagos, transferencias y no se puede hacer tan fácil como debería ser, te piden aparte de tus niños y códigos de acceso, conformar correos electrónicos en 30 segundos, entrar y salir de la App para validar, una transferencia de 60 segundos se vuelven 30 o más minutos",transferencias
650,2020-09-19 14:46:56,"Es una aplicacion lenta. En cada operacion hay que intentar mas de una vez. Continuamente te refiere a la superlinea para resolver problemas. Realizar transferencias es complicado ya sea porque no acepta el monto, hay que esperar 1 hora o mas cuando das de alta un beneficiario, etc. No te facilita las operaciones como las aplicaciones de otros bancos.",5.57.7,7,"Es una aplicacion lenta. En cada operacion hay que intentar mas de una vez. Continuamente te refiere a la superlinea para resolver problemas. Realizar transferencias es complicado ya sea porque no acepta el monto, hay que esperar 1 hora o mas cuando das de alta un beneficiario, etc. No te facilita las operaciones como las aplicaciones de otros bancos.",transferencias
654,2020-09-24 19:08:14,"Me pide activar el supertocken, lo activo, me sirve para todo, pero cuando quiero hacer una transferencia rápida me dice que el súper tomen no está activado para esa cuánta, lo vuelvo repetir, y me vuelve hacer todos los pasos y lo activa, sincronizo y sigue diciendo lo mismo. Y ya me desespero que no puedo hacer la transferencia qué tanto me urge",5.57.8,7,"Me pide activar el supertocken, lo activo, me sirve para todo, pero cuando quiero hacer una transferencia rápida me dice que el súper tomen no está activado para esa cuánta, lo vuelvo repetir, y me vuelve hacer todos los pasos y lo activa, sincronizo y sigue diciendo lo mismo. Y ya me desespero que no puedo hacer la transferencia qué tanto me urge",transferencias
661,2021-07-22 16:04:11,"Falla de repente que no tiene conexión, pero normalmente funciona bien. Sugiero que se puedan hacer transferencias sin que tarde tanto tiempo en darse de lata la cuenta, eso le quita flexibilidad a la aplicación. Y que restringe las transferencias solo. Las rápidas que están limitadas en monto x día y el tiempo de espera a veces es muy largo",5.60,7,"Falla de repente que no tiene conexión, pero normalmente funciona bien. Sugiero que se puedan hacer transferencias sin que tarde tanto tiempo en darse de lata la cuenta, eso le quita flexibilidad a la aplicación. Y que restringe las transferencias solo. Las rápidas que están limitadas en monto x día y el tiempo de espera a veces es muy largo",transferencias
669,2021-03-11 02:50:43,"Al principio es complicado el tema de que no permite realizar transferencias, movimientos y demás pero al tener acceso a ello es bastante buena la app, además de tener muchas herramientas para ahorrar. Entiendo que es parte de protocolos de seguridad pero si existiera un manual de cómo activar las cosas o desde que se cambia la nómina a esta institución se dijera cómo accesar y saber manejarla la app sería fabuloso Felicidades!",5.58.5,7,"Al principio es complicado el tema de que no permite realizar transferencias, movimientos y demás pero al tener acceso a ello es bastante buena la app, además de tener muchas herramientas para ahorrar. Entiendo que es parte de protocolos de seguridad pero si existiera un manual de cómo activar las cosas o desde que se cambia la nómina a esta institución se dijera cómo accesar y saber manejarla la app sería fabuloso Felicidades!",transferencias
671,2021-09-20 05:28:30,"Esta app es muy importante, ayuda mucho para visualizar movimientos, realizar transferencia, además de transferir sin tarjeta, no he tenido ningún problema para usarla, el único punto que no me gusta es que no tiene la opción para realizar captura cuando realizas transferencia, opción de enviar imagen o PDF por WhatsApp.",5.62,7,"Esta app es muy importante, ayuda mucho para visualizar movimientos, realizar transferencia, además de transferir sin tarjeta, no he tenido ningún problema para usarla, el único punto que no me gusta es que no tiene la opción para realizar captura cuando realizas transferencia, opción de enviar imagen o PDF por WhatsApp.",transferencias
684,2021-03-23 16:34:59,"El actualizar esta App es una porquería piden actualizar esta aplicación,a uno le urge realizar transferencias ahora resulta no se puede y a un como cliente le urge realizar estos movimientos! ""Actualizar"" no es la palabra correcta, más bien es echar a perder la aplicación anterior (funcionaba mucho mejor que está nueva app actualizada) REPROBADOS!🔴",5.59,6,"El actualizar esta App es una porquería piden actualizar esta aplicación,a uno le urge realizar transferencias ahora resulta no se puede y a un como cliente le urge realizar estos movimientos! ""Actualizar"" no es la palabra correcta, más bien es echar a perder la aplicación anterior (funcionaba mucho mejor que está nueva app actualizada) REPROBADOS!🔴",transferencias
690,2020-12-10 08:09:02,"Ejecutada en un Galaxy S20. Es muy buena aplicación, tengo dos cuentas y en ambas puedo personalizar pagos y transferencias compartidas para cualquier cuenta que ya tenga registrada, cuando cambias de equipo solo basta con acceder a la app y solicitar el netkey y listo sin tanta vuelta al asunto como en otros bancos que realmente te la ponen difícil.... en general el diseño es bastante bueno y la aplicación funciona perfectamente, santander tiene buena banca en línea.",5.58.2,6,"Ejecutada en un Galaxy S20. Es muy buena aplicación, tengo dos cuentas y en ambas puedo personalizar pagos y transferencias compartidas para cualquier cuenta que ya tenga registrada, cuando cambias de equipo solo basta con acceder a la app y solicitar el netkey y listo sin tanta vuelta al asunto como en otros bancos que realmente te la ponen difícil.... en general el diseño es bastante bueno y la aplicación funciona perfectamente, santander tiene buena banca en línea.",transferencias
692,2021-03-23 20:32:37,"La actualice y no me deja entrar a la app ni a yahoo mail. Lo desinstalé y lo volví a instalar dos veces, esta última sí me dejó entrar pero ahora me pide super token de 8 dígitos para hacer transferencia o otro banco, antes solo era el de 4 dígitos. Cada vez más complicado. Sigo si poder acceder a la app yahoo mail. No deja de enviarme mensajes diciendo que Santander se detuvo. Lo tuve que desinstalar. Que decepción. Me pueden recomendar un banco con una app que funcione por favor.",5.59.1,6,"La actualice y no me deja entrar a la app ni a yahoo mail. Lo desinstalé y lo volví a instalar dos veces, esta última sí me dejó entrar pero ahora me pide super token de 8 dígitos para hacer transferencia o otro banco, antes solo era el de 4 dígitos. Cada vez más complicado. Sigo si poder acceder a la app yahoo mail. No deja de enviarme mensajes diciendo que Santander se detuvo. Lo tuve que desinstalar. Que decepción. Me pueden recomendar un banco con una app que funcione por favor.",transferencias
701,2020-09-10 00:00:46,"Tengo problemas al querer ingresar ya que no siempre funciona, se traba, se queda pausada y después cuando vuelvo a intentarlo me dice que no puedo ingresar porque ya inicié sesión y debo esperar 5 minutos!! Es una molestia porque a veces requiero hacer transferencias rápidas y no puedo. Ya intenté desactivarla y volverla a activar y es el mismo problema. En Motorola incluso me dijeron que esta app estaba consumiendo mi batería más rápido. No es nada confiable",5.57.7,6,"Tengo problemas al querer ingresar ya que no siempre funciona, se traba, se queda pausada y después cuando vuelvo a intentarlo me dice que no puedo ingresar porque ya inicié sesión y debo esperar 5 minutos!! Es una molestia porque a veces requiero hacer transferencias rápidas y no puedo. Ya intenté desactivarla y volverla a activar y es el mismo problema. En Motorola incluso me dijeron que esta app estaba consumiendo mi batería más rápido. No es nada confiable",transferencias
702,2020-09-01 21:48:48,"sirve bastante bien, permite revisar saldos o hacer metas financieras. ademas de pooder generar lineas de cobro sin tarjeta c: lo malo es que ni no usas mucho tu supertoken lo bloquean, aunque si lo piensas bien es otra medida de seguridad. me gusta mucho (: Haces transferencias super rápido. Lo unico que no se puede es sacar tus estados de cuenta, solo consultar tus movimientos. Eso solo en Super net. En general muy útil! 🙋🏽‍♀️",5.57.7,6,"sirve bastante bien, permite revisar saldos o hacer metas financieras. ademas de pooder generar lineas de cobro sin tarjeta c: lo malo es que ni no usas mucho tu supertoken lo bloquean, aunque si lo piensas bien es otra medida de seguridad. me gusta mucho (: Haces transferencias super rápido. Lo unico que no se puede es sacar tus estados de cuenta, solo consultar tus movimientos. Eso solo en Super net. En general muy útil! 🙋🏽‍♀️",transferencias
706,2020-08-24 12:32:41,Mejoraron el tiempo para dar de alta las cuentas nuevas para transferencias pero aun tarda,5.57.6,6,Mejoraron el tiempo para dar de alta las cuentas nuevas para transferencias pero aun tarda,transferencias
710,2021-05-28 09:42:14,"No estoy satisfecha llevo años con la cuenta y jamás he podido realizar una transferencia, mi información nonesta actualizada y he acudido ala sucursal numerosas veces para actualizar mi información y siempre me dicen que unas horas quedara y jamas queda actualizada, por ese motivo jamas he podido obtener mi token la app es buena solo quisiera no tener que lidiar con sus empleados, es pésimo el servicio la app me agrada muchísimo es muy fácil e intuitiva",5.59.2,6,"No estoy satisfecha llevo años con la cuenta y jamás he podido realizar una transferencia, mi información nonesta actualizada y he acudido ala sucursal numerosas veces para actualizar mi información y siempre me dicen que unas horas quedara y jamas queda actualizada, por ese motivo jamas he podido obtener mi token la app es buena solo quisiera no tener que lidiar con sus empleados, es pésimo el servicio la app me agrada muchísimo es muy fácil e intuitiva",transferencias
720,2021-10-17 14:48:48,"Arreglen su porquería de app, se cierra continuamente, no deja ver movimientos ni hacer transferencias o pagos. Ni siendo la única app abierta, funciona. Otras aplicaciones de más requerimientos funcionan sin problema. ¿Además de sus cargos indebidos hay que estar soportando está problemática con su app?",5.62.1,5,"Arreglen su porquería de app, se cierra continuamente, no deja ver movimientos ni hacer transferencias o pagos. Ni siendo la única app abierta, funciona. Otras aplicaciones de más requerimientos funcionan sin problema. ¿Además de sus cargos indebidos hay que estar soportando está problemática con su app?",transferencias
732,2021-08-07 11:58:53,"Me encanta, es muy fácil de usar, hago transferencias muy fácil mente, consulto el saldo de mi tarjeta, pagar los servicios, excelente app!",5.61,5,"Me encanta, es muy fácil de usar, hago transferencias muy fácil mente, consulto el saldo de mi tarjeta, pagar los servicios, excelente app!",transferencias
733,2020-11-01 12:35:09,"No le daría ni una estrella porque no sirve la aplicación llevo una hora intentando realizar una transferencia a otro banco me pide el alta de la tarjeta ya esta el alta y cuando voy a transferir me dice que dé de alta la tarjeta, para variar pide supertoken ya lo tengo, pide nip y en su menú de ""superlinea"" que ni se le entiende nada de lo que dice piden mil cosas para tomar una llamada no sirve la app ni el banco gracias por nada",5.58.1,5,"No le daría ni una estrella porque no sirve la aplicación llevo una hora intentando realizar una transferencia a otro banco me pide el alta de la tarjeta ya esta el alta y cuando voy a transferir me dice que dé de alta la tarjeta, para variar pide supertoken ya lo tengo, pide nip y en su menú de ""superlinea"" que ni se le entiende nada de lo que dice piden mil cosas para tomar una llamada no sirve la app ni el banco gracias por nada",transferencias
737,2021-04-23 17:11:50,"Es un problema desde la geolocalizacion no hay acceso fácil ya no pude entrar con mi clave y hay que estar llamando a super línea, sin mencionar que tuve que esperar 2 hr para poder desbloquear la aplicación y que me atendieran ,después quise hacer una transferencia y como tenia que registrar la cuenta me pidió que hasta después de la 6pm y el problema es que después de las 6pm no se pueden realizar transacciones de más de $8,000",5.59.2,5,"Es un problema desde la geolocalizacion no hay acceso fácil ya no pude entrar con mi clave y hay que estar llamando a super línea, sin mencionar que tuve que esperar 2 hr para poder desbloquear la aplicación y que me atendieran ,después quise hacer una transferencia y como tenia que registrar la cuenta me pidió que hasta después de la 6pm y el problema es que después de las 6pm no se pueden realizar transacciones de más de $8,000",transferencias
749,2021-02-12 18:05:06,"Todo iba excelente hasta que no me dejó hacer transferencias, ni retiros por referencia, ni ningún movimiento. No pude realizar la transferencia que necesitaba hacer en ese momento ni mucho menos retirar mi dinero porque mi NIP tampoco es válido cuando pongo mi tarjeta en el cajero (eso me pasó desde la primera vez que intenté retirar) por eso hacía los retiros con referencia y ahora ni eso!! Y ni hablar de la atención al cliente.",5.58.5,5,"Todo iba excelente hasta que no me dejó hacer transferencias, ni retiros por referencia, ni ningún movimiento. No pude realizar la transferencia que necesitaba hacer en ese momento ni mucho menos retirar mi dinero porque mi NIP tampoco es válido cuando pongo mi tarjeta en el cajero (eso me pasó desde la primera vez que intenté retirar) por eso hacía los retiros con referencia y ahora ni eso!! Y ni hablar de la atención al cliente.",transferencias
750,2020-12-11 14:06:33,"No es tan buena la aplicación, es mejor la de otros bancos, debido aque al realizar una transferencia tarda en cargar, al concluir la transferencia te saca de la aplicación y al querer ingresar te pide que esperes 5 min para poder ingresar porque esta abierta otra sesión",5.58.3,5,"No es tan buena la aplicación, es mejor la de otros bancos, debido aque al realizar una transferencia tarda en cargar, al concluir la transferencia te saca de la aplicación y al querer ingresar te pide que esperes 5 min para poder ingresar porque esta abierta otra sesión",transferencias
752,2020-09-11 11:41:42,"Bastante inestable la aplicación. Ciertamente hubo un tiempo en el que funcionaba bastante bien pero al día de hoy se cierra en medio de casi cualquier movimiento, (consulta, descarga de edo de cuenta, transferencia, alta de cuenta, etc.), ojalá puedan arreglar ese problema porque ya somos muchos que opinamos en el mismo sentido.",5.57.7,5,"Bastante inestable la aplicación. Ciertamente hubo un tiempo en el que funcionaba bastante bien pero al día de hoy se cierra en medio de casi cualquier movimiento, (consulta, descarga de edo de cuenta, transferencia, alta de cuenta, etc.), ojalá puedan arreglar ese problema porque ya somos muchos que opinamos en el mismo sentido.",transferencias
753,2021-05-20 15:54:53,No sirve. No me deja hacer transferencias a otros bancos. Ya voy registrando unas 10 veces la misma cuenta para transferir y cuando le doy la opción transferir me dice que no tengo registrada ninguna cuenta y cuando la vuelvo a registrar me sale que ya estaba registrada pero NO ME DA LA OPCIÓN DE HACER MI TRANSFERENCIA. Es muy poco práctica la aplicación y no resuelve nada. Está del nabo 👎,5.59.2,5,No sirve. No me deja hacer transferencias a otros bancos. Ya voy registrando unas 10 veces la misma cuenta para transferir y cuando le doy la opción transferir me dice que no tengo registrada ninguna cuenta y cuando la vuelvo a registrar me sale que ya estaba registrada pero NO ME DA LA OPCIÓN DE HACER MI TRANSFERENCIA. Es muy poco práctica la aplicación y no resuelve nada. Está del nabo 👎,transferencias
755,2021-09-13 07:53:15,"Es buena app pero hace falta mejorar la interfaz y facilitar algunas cosas como son las transferencias bancarias tarda demasiado en dar de alta a un número de cuenta, obtener un estado de cuenta es demasiados pasos para obtenerlo, el tener que dar de alta cada servicio es muy aburrido y tediosos a comparación de otras app de banca móvil.",5.61,5,"Es buena app pero hace falta mejorar la interfaz y facilitar algunas cosas como son las transferencias bancarias tarda demasiado en dar de alta a un número de cuenta, obtener un estado de cuenta es demasiados pasos para obtenerlo, el tener que dar de alta cada servicio es muy aburrido y tediosos a comparación de otras app de banca móvil.",transferencias
758,2020-08-29 13:18:05,"Muy mala aplicación, cuando quiero hacer transferencia a otros bancos derepente me pone que todas las cuentas pertenecen a Santander, la aplicación te da fecha de pago y cuando haces el pago, resulta que esa no era tu fecha y los gandallas te cobran pago tardío, en si Santander es una porquería de banco 🤬😠😡",5.57.7,5,"Muy mala aplicación, cuando quiero hacer transferencia a otros bancos derepente me pone que todas las cuentas pertenecen a Santander, la aplicación te da fecha de pago y cuando haces el pago, resulta que esa no era tu fecha y los gandallas te cobran pago tardío, en si Santander es una porquería de banco 🤬😠😡",transferencias
764,2021-02-28 19:17:25,"Pésima aplicación, para todo tienes que ir al banco, solo sirve para consultar saldo, transferencias tardan 2 horas para poder realizarlas, no puedes descargar estados de cuenta, otros bancos tienes bancas móviles más completas y sin necesidad de ir varias veces al banco para que te activen función por funcion",5.58.5,5,"Pésima aplicación, para todo tienes que ir al banco, solo sirve para consultar saldo, transferencias tardan 2 horas para poder realizarlas, no puedes descargar estados de cuenta, otros bancos tienes bancas móviles más completas y sin necesidad de ir varias veces al banco para que te activen función por funcion",transferencias
765,2021-05-11 20:39:29,"Antes de la aceptación de los nuevos términos y condiciones funcionaba correctamente mi app y súper token, despues de ahí se me bloqueó el súper token y no puedo realizar transferencias , solo consultar saldo que en realidad no me sirve de mucho ya que frecuentente necesito mover dinero, para todo me pide que acuda a sucursal y voy y no me resuelven nada, hable al teléfono de ayuda o soporte y me mandan nuevamente a sucursal. Definitivamente cambiaré de banco, a uno que sí ofrezca soluciones.",5.59.2,5,"Antes de la aceptación de los nuevos términos y condiciones funcionaba correctamente mi app y súper token, despues de ahí se me bloqueó el súper token y no puedo realizar transferencias , solo consultar saldo que en realidad no me sirve de mucho ya que frecuentente necesito mover dinero, para todo me pide que acuda a sucursal y voy y no me resuelven nada, hable al teléfono de ayuda o soporte y me mandan nuevamente a sucursal. Definitivamente cambiaré de banco, a uno que sí ofrezca soluciones.",transferencias
771,2021-10-16 08:52:05,"La aplicación es pesima por si sola, nunca me permitió obtener el token con el que supuestamente podia hacer transferencias y algunos otros movimientos. Además de que asistí a sucursal en varias ocasiones y ni los mismos ""ejecutivos"" pueden obtenerlo. En general tanto la aplicación como el servicio en el banco es pésimo.",5.62.1,5,"La aplicación es pesima por si sola, nunca me permitió obtener el token con el que supuestamente podia hacer transferencias y algunos otros movimientos. Además de que asistí a sucursal en varias ocasiones y ni los mismos ""ejecutivos"" pueden obtenerlo. En general tanto la aplicación como el servicio en el banco es pésimo.",transferencias
775,2021-08-08 13:20:52,Buena lo que no me gusta es que para varias opciones tengo que estar en banca móvil es una tarjeta de débito aparte que tuve que ir al banco para poderla activar un poco tedioso si no tienes tiempo y para hacer una transferencia debo de dar de alta la tarjeta por qué para tranferencia rápida debo de estar en banca móvil es una app tediosa y complicada en algunos casos,5.61,5,Buena lo que no me gusta es que para varias opciones tengo que estar en banca móvil es una tarjeta de débito aparte que tuve que ir al banco para poderla activar un poco tedioso si no tienes tiempo y para hacer una transferencia debo de dar de alta la tarjeta por qué para tranferencia rápida debo de estar en banca móvil es una app tediosa y complicada en algunos casos,transferencias
777,2021-08-21 01:33:29,"Asco, no puedo hacer una transferencia en paz, porque me cambia a la persona que va a recibir el dinero, no sean así lo bueno es que siempre me fijo en las personas a las que voy a depositar, además que se cierra y no deja checar los movimientos que hago con mi tarjeta, es una completa bazca",5.61,4,"Asco, no puedo hacer una transferencia en paz, porque me cambia a la persona que va a recibir el dinero, no sean así lo bueno es que siempre me fijo en las personas a las que voy a depositar, además que se cierra y no deja checar los movimientos que hago con mi tarjeta, es una completa bazca",transferencias
778,2020-09-22 13:16:23,"que esta pasando con la app ? esta suuuuper lentisima, y se queda paralizada al hacer algun movimiento, ahora ya ni si quiera he podido entrar y me urge hacer unas transferencias, tiene ya mas de una semana con esa falla!! la instalo y la desinstalo y sigue igual ya no se que hacer !!",5.57.8,4,"que esta pasando con la app ? esta suuuuper lentisima, y se queda paralizada al hacer algun movimiento, ahora ya ni si quiera he podido entrar y me urge hacer unas transferencias, tiene ya mas de una semana con esa falla!! la instalo y la desinstalo y sigue igual ya no se que hacer !!",transferencias
785,2021-06-26 14:16:32,"Actualize y no deja hacer transferencias se cierra la app, trato de ingresar nuevamente y me dice que no puedo ingresar porque hay una sesión abierta. Arreglen eso",5.60,4,"Actualize y no deja hacer transferencias se cierra la app, trato de ingresar nuevamente y me dice que no puedo ingresar porque hay una sesión abierta. Arreglen eso",transferencias
787,2021-03-20 22:34:10,Son una reverenda porqueria! Me pide que actualice la aplicacion de la tienda de aplicaciones y NO HAY ACTUALIZACIONES! Mientras tanto no puedo utilizar la app ni hacer transferencias criticas para mi operacion. Intento usar su portal web y acaban bloqueandome el toke. Que yo vaya a la sucursal.mas cercana el lunes!!! APESTAN!!!!,5.58.5,4,Son una reverenda porqueria! Me pide que actualice la aplicacion de la tienda de aplicaciones y NO HAY ACTUALIZACIONES! Mientras tanto no puedo utilizar la app ni hacer transferencias criticas para mi operacion. Intento usar su portal web y acaban bloqueandome el toke. Que yo vaya a la sucursal.mas cercana el lunes!!! APESTAN!!!!,transferencias
791,2021-10-02 19:18:52,"Todo bien, por favor que se active los avisos de depósitos y transferencias.",5.62,4,"Todo bien, por favor que se active los avisos de depósitos y transferencias.",transferencias
793,2021-09-19 13:25:39,"Mala aplicacion, en estos dias he intentado acceder a la app y se cierra solo al primer click que doy para hacer una transferencia, hace un par de dias todo bien, despues de que actualice la app va muy mal",5.62,4,"Mala aplicacion, en estos dias he intentado acceder a la app y se cierra solo al primer click que doy para hacer una transferencia, hace un par de dias todo bien, despues de que actualice la app va muy mal",transferencias
795,2021-07-12 03:02:06,"solo me aparece la opción de descargar en Dropbox o one drive los recibos de transferencia, ya intente darle más permisos a la app y aun asi no me aparece la opción para compartir el recibo de transferencia con otras apps Además que en la app no hay ninguna opción para descargar recibos de transferencias recientes. Aunado a que no puedo hacer captura de pantalla de mis propios datos y tampoco funciona la opción de iniciar sesión con huella dactilar en mi galaxy S10",5.60,4,"solo me aparece la opción de descargar en Dropbox o one drive los recibos de transferencia, ya intente darle más permisos a la app y aun asi no me aparece la opción para compartir el recibo de transferencia con otras apps Además que en la app no hay ninguna opción para descargar recibos de transferencias recientes. Aunado a que no puedo hacer captura de pantalla de mis propios datos y tampoco funciona la opción de iniciar sesión con huella dactilar en mi galaxy S10",transferencias
797,2021-04-16 16:55:07,"para alguien que no tiene tanta experiencia en apps bancarias es muy difícil de comprender les hace falta que sea más intuitiva la aplicación y clara, tiene mucho texto y muchos se parecen y crees que es lo que estás buscando pero no estas en el lugar equivocado piden mucha mamada para una simple transferencia y más cuando es de otros bancos 🙄.",5.59.2,4,"para alguien que no tiene tanta experiencia en apps bancarias es muy difícil de comprender les hace falta que sea más intuitiva la aplicación y clara, tiene mucho texto y muchos se parecen y crees que es lo que estás buscando pero no estas en el lugar equivocado piden mucha mamada para una simple transferencia y más cuando es de otros bancos 🙄.",transferencias
800,2021-04-10 09:41:30,"Antes estaba muy bien, ahora para cada cosa se reinicia la app y tengo que esperar una cantidad de minutos para volver a entrar, cada vez que actualizo la app tengo que generar un token. Edit: esto se está volviendo cada vez peor, si antes era malo ahora nisiquiera puedo hacer transferencias, mejor me cambio de banco.",5.59.2,4,"Antes estaba muy bien, ahora para cada cosa se reinicia la app y tengo que esperar una cantidad de minutos para volver a entrar, cada vez que actualizo la app tengo que generar un token. Edit: esto se está volviendo cada vez peor, si antes era malo ahora nisiquiera puedo hacer transferencias, mejor me cambio de banco.",transferencias
801,2021-08-13 00:38:42,"Es una app muy pero muy mala,el peor banco que pueda existir, miles de horas para poder activar el token y poder hacer una transferencia y para que me salga que tenga que ir a sucursal, deben de arreglar eso con su app o meterle más empeño que deja mucho que desear de ustedes.",5.61,4,"Es una app muy pero muy mala,el peor banco que pueda existir, miles de horas para poder activar el token y poder hacer una transferencia y para que me salga que tenga que ir a sucursal, deben de arreglar eso con su app o meterle más empeño que deja mucho que desear de ustedes.",transferencias
805,2021-08-27 17:58:08,"Pésimo servicio, la app, di de alta cuentas para hacer transferencia, y se bloqueó, llevo dos meses sin poder acceder a esta cuenta a la fecha nada, es un banco ratero, pues me cobró casi mil pesos en un seguro según la ejecutiva para poder abrir esta cuenta, la cual no me da servicio, solo retiene mi dinero y me roba además una cuota mensual, q está información sirva a varios para q no abren servicios en este banco ratero de Españoles.",5.61,4,"Pésimo servicio, la app, di de alta cuentas para hacer transferencia, y se bloqueó, llevo dos meses sin poder acceder a esta cuenta a la fecha nada, es un banco ratero, pues me cobró casi mil pesos en un seguro según la ejecutiva para poder abrir esta cuenta, la cual no me da servicio, solo retiene mi dinero y me roba además una cuota mensual, q está información sirva a varios para q no abren servicios en este banco ratero de Españoles.",transferencias
807,2021-03-18 08:05:55,"esta pésima ya que no se puede hacer transferencias, el banco debería de poner el supertoken y el usuario no tener que estaarlo manejando ya que en otros bancos todo se puede hacer incluso capturas de pantalla para enviar la comprobación de tramfernci uno pago de otras tarjetas , y sobretodo en porque envian el código para poner el supertoken sin tomar en cuenta que las personas mayores no son rápidas o habilies para hacerlas lo s otros bancos lo hacen y de pal real,",5.58.5,4,"esta pésima ya que no se puede hacer transferencias, el banco debería de poner el supertoken y el usuario no tener que estaarlo manejando ya que en otros bancos todo se puede hacer incluso capturas de pantalla para enviar la comprobación de tramfernci uno pago de otras tarjetas , y sobretodo en porque envian el código para poner el supertoken sin tomar en cuenta que las personas mayores no son rápidas o habilies para hacerlas lo s otros bancos lo hacen y de pal real,",transferencias
810,2021-06-25 23:05:45,Falla mucho desde la nueva actualización con deja hacer transferencias espero lo puedan solucionar,5.60,4,Falla mucho desde la nueva actualización con deja hacer transferencias espero lo puedan solucionar,transferencias
811,2020-11-27 21:56:46,"En esta actualización no me deja ver mis movimientos me saca de inmediato de la app, las transferencias ni se diga.. pensé que sería error de mi celular pero la instale en otro y sale lo mismo; definitivamente deja mucho que desear.",5.58.2,4,"En esta actualización no me deja ver mis movimientos me saca de inmediato de la app, las transferencias ni se diga.. pensé que sería error de mi celular pero la instale en otro y sale lo mismo; definitivamente deja mucho que desear.",transferencias
